# Copyright (c) Huawei Technologies Co., Ltd. 2026. All rights reserved.
# This source file is part of the Cangjie project, licensed under Apache-2.0
# with Runtime Library Exception.
# 
# See https://cangjie-lang.cn/pages/LICENSE for license information.

Children        Self    Symbol
   0.48%       0.00%    user.main
   0.48%       0.00%    main(std.core::Array<std.core::String>)
   0.48%       0.00%    cj_entry$
   0.46%       0.02%    [libcangjie-runtime.so+0x113798]
   0.46%       0.46%    [libcangjie-runtime.so+0x10d488]
   0.46%       0.00%    [libcangjie-runtime.so+0x106c1c]
   0.44%       0.44%    [libcangjie-runtime.so+0x10d5c8]
   0.43%       0.43%    [libcangjie-runtime.so+0xfc494]
   0.43%       0.43%    [libcangjie-runtime.so+0x105354]
   0.42%       0.00%    [libcangjie-runtime.so+0x101c3c]
   0.42%       0.42%    [libcangjie-runtime.so+0x10d62c]
   0.42%       0.42%    [libcangjie-runtime.so+0xb6b60]
   0.41%       0.41%    [libcangjie-runtime.so+0x10d400]
   0.39%       0.39%    [libcangjie-runtime.so+0xdd964]
   0.39%       0.39%    [libcangjie-runtime.so+0xc37e8]
   0.37%       0.37%    [libcangjie-runtime.so+0xd7bc8]
   0.36%       0.36%    [libcangjie-runtime.so+0x10bf90]
   0.35%       0.00%    [libcangjie-runtime.so+0x10ce48]
   0.35%       0.00%    [libcangjie-runtime.so+0xf8098]
   0.34%       0.01%    [libcangjie-runtime.so+0x106be0]
   0.32%       0.32%    [libcangjie-runtime.so+0xdba44]
   0.31%       0.31%    [libcangjie-runtime.so+0xdba6c]
   0.30%       0.30%    [libcangjie-runtime.so+0x10591c]
   0.30%       0.30%    [libcangjie-runtime.so+0x10d460]
   0.30%       0.30%    [libc-2.31.so+0x86450]
   0.29%       0.29%    [libcangjie-runtime.so+0xdddd0]
   0.28%       0.28%    [libcangjie-runtime.so+0xb4be0]
   0.28%       0.00%    [libcangjie-runtime.so+0x100240]
   0.28%       0.00%    [libcangjie-runtime.so+0x100190]
   0.28%       0.00%    [libcangjie-runtime.so+0xf4e00]
   0.26%       0.00%    [libcangjie-runtime.so+0x101514]
   0.26%       0.26%    [libcangjie-runtime.so+0xc1434]
   0.26%       0.26%    [libcangjie-runtime.so+0x10d43c]
   0.25%       0.25%    [libcangjie-runtime.so+0xf6ee4]
   0.25%       0.25%    [libcangjie-runtime.so+0xc140c]
   0.25%       0.00%    [libcangjie-runtime.so+0x10ca20]
   0.25%       0.25%    [libcangjie-runtime.so+0xc37e4]
   0.25%       0.25%    [libcangjie-runtime.so+0x10d5cc]
   0.25%       0.25%    [libcangjie-runtime.so+0x10532c]
   0.25%       0.01%    [libcangjie-runtime.so+0x1061b8]
   0.24%       0.25%    [libcangjie-runtime.so+0xd6f90]
   0.24%       0.24%    [libcangjie-runtime.so+0x105344]
   0.24%       0.24%    [libcangjie-runtime.so+0xddddc]
   0.24%       0.24%    [libcangjie-runtime.so+0x107d84]
   0.24%       0.24%    [libcangjie-runtime.so+0xdd9cc]
   0.23%       0.23%    [libcangjie-runtime.so+0xfc484]
   0.23%       0.00%    [libcangjie-runtime.so+0xdb4f4]
   0.23%       0.23%    [libcangjie-runtime.so+0x10535c]
   0.23%       0.23%    [libcangjie-runtime.so+0xb3f04]
   0.23%       0.23%    [libcangjie-runtime.so+0x105364]
   0.23%       0.00%    [libcangjie-runtime.so+0xdb14c]
   0.22%       0.22%    [libcangjie-runtime.so+0xdd960]
   0.22%       0.22%    [binarytrees_record_attach_01+0x47a14]
   0.22%       0.01%    [libcangjie-runtime.so+0x1061f8]
   0.22%       0.22%    [libcangjie-runtime.so+0x1005f0]
   0.22%       0.22%    [libcangjie-runtime.so+0x107964]
   0.22%       0.22%    [libcangjie-runtime.so+0xf6ecc]
   0.22%       0.22%    [libcangjie-runtime.so+0xc37c4]
   0.22%       0.22%    [libcangjie-runtime.so+0x105374]
   0.22%       0.22%    [libcangjie-runtime.so+0x107dac]
   0.21%       0.21%    [libcangjie-runtime.so+0x1018c0]
   0.21%       0.21%    [libcangjie-runtime.so+0x10794c]
   0.20%       0.20%    [libcangjie-runtime.so+0xfc498]
   0.20%       0.20%    [libcangjie-runtime.so+0xbe2c8]
   0.20%       0.20%    [binarytrees_record_attach_01+0x47194]
   0.20%       0.20%    [libcangjie-runtime.so+0xdd908]
   0.20%       0.20%    [libcangjie-runtime.so+0x107934]
   0.20%       0.20%    [libcangjie-runtime.so+0xff8fc]
   0.20%       0.20%    [libcangjie-runtime.so+0x1005e0]
   0.20%       0.20%    [libcangjie-runtime.so+0xdb690]
   0.20%       0.20%    [libcangjie-runtime.so+0xdba20]
   0.19%       0.19%    [libcangjie-runtime.so+0xf4dcc]
   0.19%       0.19%    [libcangjie-runtime.so+0xc13f4]
   0.19%       0.19%    [libcangjie-runtime.so+0x10615c]
   0.19%       0.19%    [libcangjie-runtime.so+0x10797c]
   0.19%       0.19%    [libcangjie-runtime.so+0xdb674]
   0.19%       0.04%    [libcangjie-runtime.so+0xff99c]
   0.19%       0.01%    [libcangjie-runtime.so+0xd0a78]
   0.18%       0.00%    [libcangjie-runtime.so+0xfa974]
   0.18%       0.18%    [libcangjie-runtime.so+0xc142c]
   0.18%       0.18%    [libcangjie-runtime.so+0xc1430]
   0.18%       0.18%    [libcangjie-runtime.so+0xc37c0]
   0.17%       0.17%    [libcangjie-runtime.so+0x107e5c]
   0.17%       0.17%    [binarytrees_record_attach_01+0x47190]
   0.17%       0.17%    [libcangjie-runtime.so+0x1061e0]
   0.17%       0.17%    [libcangjie-runtime.so+0xdb5e0]
   0.17%       0.00%    [libcangjie-runtime.so+0xdb158]
   0.17%       0.00%    [libcangjie-runtime.so+0x10bf04]
   0.16%       0.16%    [libcangjie-runtime.so+0x101378]
   0.16%       0.16%    [libcangjie-runtime.so+0xc1408]
   0.16%       0.16%    [libcangjie-runtime.so+0x10eb88]
   0.16%       0.16%    [libcangjie-runtime.so+0xc1428]
   0.16%       0.16%    [libcangjie-runtime.so+0xd7bc0]
   0.16%       0.16%    [libcangjie-runtime.so+0xf6ea8]
   0.15%       0.15%    [libc-2.31.so+0x86464]
   0.15%       0.15%    [libcangjie-runtime.so+0xd51f4]
   0.15%       0.15%    [libcangjie-runtime.so+0x10bea0]
   0.15%       0.15%    [libcangjie-runtime.so+0x10be90]
   0.15%       0.15%    [libcangjie-runtime.so+0xd7a68]
   0.15%       0.15%    [libcangjie-runtime.so+0xff908]
   0.14%       0.14%    [libcangjie-runtime.so+0x10d454]
   0.14%       0.00%    [libcangjie-runtime.so+0x10dc78]
   0.14%       0.00%    [libcangjie-runtime.so+0x10da1c]
   0.14%       0.14%    [libcangjie-runtime.so+0x101a24]
   0.14%       0.14%    [libcangjie-runtime.so+0xf4f38]
   0.14%       0.00%    [libcangjie-runtime.so+0xf8af4]
   0.14%       0.14%    [libcangjie-runtime.so+0x101958]
   0.14%       0.14%    [libc-2.31.so+0x86444]
   0.14%       0.14%    [libcangjie-runtime.so+0xc1400]
   0.14%       0.14%    [libc-2.31.so+0x76908]
   0.13%       0.13%    [libcangjie-runtime.so+0x10189c]
   0.13%       0.01%    [libcangjie-runtime.so+0xd8484]
   0.13%       0.13%    [libcangjie-runtime.so+0xff91c]
   0.13%       0.13%    [libcangjie-runtime.so+0x10bf1c]
   0.13%       0.13%    [libcangjie-runtime.so+0x10d41c]
   0.13%       0.13%    [libcangjie-runtime.so+0xf6e70]
   0.13%       0.13%    [libcangjie-runtime.so+0x10eb8c]
   0.13%       0.13%    [libcangjie-runtime.so+0x10bf2c]
   0.12%       0.00%    [libcangjie-runtime.so+0xf82fc]
   0.12%       0.12%    [libc-2.31.so+0x86460]
   0.12%       0.12%    __pthread_mutex_unlock_usercnt
   0.12%       0.12%    [libcangjie-runtime.so+0xf4dd8]
   0.12%       0.12%    [libcangjie-runtime.so+0xf6eb0]
   0.12%       0.00%    [libcangjie-runtime.so+0xd10d0]
   0.12%       0.12%    [libcangjie-runtime.so+0xbe2bc]
   0.12%       0.12%    [libcangjie-runtime.so+0xf4f5c]
   0.12%       0.12%    [libcangjie-runtime.so+0xdb610]
   0.12%       0.12%    [ld-2.31.so+0x15a64]
   0.12%       0.12%    [libcangjie-runtime.so+0xd51e8]
   0.12%       0.12%    [libcangjie-runtime.so+0xd5894]
   0.11%       0.11%    [libcangjie-runtime.so+0x101864]
   0.11%       0.11%    [libcangjie-runtime.so+0xf4dd0]
   0.11%       0.11%    [libcangjie-runtime.so+0x107e68]
   0.11%       0.00%    [libcangjie-runtime.so+0x109300]
   0.11%       0.11%    [libcangjie-runtime.so+0x10d418]
   0.11%       0.11%    [libcangjie-runtime.so+0xbe2f0]
   0.11%       0.00%    [libcangjie-runtime.so+0xf84b4]
   0.11%       0.11%    [libcangjie-runtime.so+0x10d404]
   0.10%       0.00%    [libcangjie-runtime.so+0x10d9e0]
   0.10%       0.00%    [libcangjie-runtime.so+0x10db2c]
   0.10%       0.00%    [libcangjie-runtime.so+0xf48b4]
   0.10%       0.10%    [libcangjie-runtime.so+0xc37d8]
   0.10%       0.10%    [libcangjie-runtime.so+0x107e4c]
   0.10%       0.10%    [libc-2.31.so+0x86468]
   0.10%       0.10%    [libcangjie-runtime.so+0xb52b0]
   0.09%       0.09%    [libcangjie-runtime.so+0xdd9bc]
   0.09%       0.09%    [libcangjie-runtime.so+0xd7bec]
   0.09%       0.09%    [libcangjie-runtime.so+0x10b704]
   0.09%       0.00%    [libcangjie-runtime.so+0xf4c54]
   0.09%       0.09%    [libcangjie-runtime.so+0xd84a4]
   0.09%       0.09%    [libcangjie-runtime.so+0xd7a70]
   0.09%       0.09%    [libcangjie-runtime.so+0x1018a4]
   0.09%       0.09%    [libcangjie-runtime.so+0x1137b4]
   0.09%       0.09%    [libcangjie-runtime.so+0x10e2c8]
   0.08%       0.08%    [libcangjie-runtime.so+0x1013fc]
   0.08%       0.08%    [libc-2.31.so+0x86448]
   0.08%       0.08%    [libcangjie-runtime.so+0xd5858]
   0.08%       0.08%    [libcangjie-runtime.so+0x10be9c]
   0.08%       0.00%    [libcangjie-runtime.so+0xf4150]
   0.08%       0.08%    [libcangjie-runtime.so+0x1005d4]
   0.08%       0.08%    [libcangjie-runtime.so+0xfc1fc]
   0.08%       0.08%    [libcangjie-runtime.so+0x10d438]
   0.08%       0.00%    [libcangjie-runtime.so+0xdb578]
   0.08%       0.08%    [libcangjie-runtime.so+0xdba1c]
   0.08%       0.08%    [libc-2.31.so+0x76b5c]
   0.08%       0.08%    [libcangjie-runtime.so+0x10c12c]
   0.08%       0.00%    [libcangjie-runtime.so+0xf4118]
   0.08%       0.00%    [libcangjie-runtime.so+0x1016ac]
   0.08%       0.08%    [libcangjie-runtime.so+0x10e144]
   0.08%       0.08%    [libcangjie-runtime.so+0x10c020]
   0.08%       0.08%    [libcangjie-runtime.so+0x10eb80]
   0.08%       0.08%    [libcangjie-runtime.so+0xb4be4]
   0.08%       0.08%    [libcangjie-runtime.so+0xc1404]
   0.08%       0.08%    [libcangjie-runtime.so+0xdbac8]
   0.08%       0.08%    [libcangjie-runtime.so+0xdb650]
   0.08%       0.08%    [libcangjie-runtime.so+0xd7bb0]
   0.08%       0.08%    [libcangjie-runtime.so+0xd528c]
   0.08%       0.00%    [libcangjie-runtime.so+0x10d19c]
   0.08%       0.00%    [libcangjie-runtime.so+0x1053b0]
   0.07%       0.07%    [libcangjie-runtime.so+0x10be68]
   0.07%       0.07%    [libcangjie-runtime.so+0xdd9c8]
   0.07%       0.07%    [libcangjie-runtime.so+0x10c018]
   0.07%       0.07%    [libcangjie-runtime.so+0xfc49c]
   0.07%       0.07%    [libcangjie-runtime.so+0x1137e0]
   0.07%       0.07%    [libcangjie-runtime.so+0xdb670]
   0.07%       0.00%    [libcangjie-runtime.so+0xfac40]
   0.07%       0.00%    [libcangjie-runtime.so+0xf68b8]
   0.07%       0.00%    [libcangjie-runtime.so+0xf5604]
   0.07%       0.07%    [libcangjie-runtime.so+0xd7b9c]
   0.07%       0.07%    [libcangjie-runtime.so+0xb7bb0]
   0.07%       0.07%    [libcangjie-runtime.so+0x10d604]
   0.07%       0.07%    [libcangjie-runtime.so+0xd5984]
   0.07%       0.00%    [libcangjie-runtime.so+0x100220]
   0.07%       0.07%    [libcangjie-runtime.so+0xd749c]
   0.07%       0.07%    [libcangjie-runtime.so+0x10bed8]
   0.07%       0.07%    pthread_mutex_unlock
   0.07%       0.07%    [libcangjie-runtime.so+0x101a00]
   0.07%       0.00%    [libcangjie-runtime.so+0xd8f68]
   0.07%       0.00%    [libcangjie-runtime.so+0xd9a04]
   0.07%       0.00%    [libcangjie-runtime.so+0xf7b70]
   0.07%       0.07%    [libcangjie-runtime.so+0xdbc34]
   0.07%       0.00%    [libcangjie-runtime.so+0xd8dbc]
   0.07%       0.00%    [libcangjie-runtime.so+0xf8350]
   0.06%       0.06%    [libc-2.31.so+0x10d2f4]
   0.06%       0.06%    [libc-2.31.so+0x76890]
   0.06%       0.06%    [libc-2.31.so+0x86438]
   0.06%       0.06%    [libcangjie-runtime.so+0x10bf34]
   0.06%       0.06%    [libcangjie-runtime.so+0x10d61c]
   0.06%       0.06%    [libcangjie-runtime.so+0xff930]
   0.06%       0.06%    [libcangjie-runtime.so+0xdb60c]
   0.06%       0.06%    pthread_mutex_lock
   0.06%       0.06%    [libcangjie-runtime.so+0xd8474]
   0.06%       0.06%    [libcangjie-runtime.so+0xd7b6c]
   0.06%       0.06%    [libcangjie-runtime.so+0xd7b84]
   0.06%       0.06%    [libcangjie-runtime.so+0xd7b5c]
   0.06%       0.00%    [libcangjie-runtime.so+0xe4a50]
   0.06%       0.00%    [libcangjie-runtime.so+0xc5ad8]
   0.06%       0.00%    [libcangjie-runtime.so+0xf98d4]
   0.06%       0.00%    [libcangjie-runtime.so+0x10c444]
   0.06%       0.06%    [libcangjie-runtime.so+0xf4ddc]
   0.06%       0.06%    [libcangjie-runtime.so+0x1018c8]
   0.06%       0.06%    [libc-2.31.so+0x86458]
   0.06%       0.06%    [libcangjie-runtime.so+0xdb294]
   0.06%       0.06%    [libcangjie-runtime.so+0xd7060]
   0.06%       0.06%    [libcangjie-runtime.so+0xdba28]
   0.06%       0.06%    [libcangjie-runtime.so+0xd5250]
   0.06%       0.06%    [libcangjie-runtime.so+0xd7a44]
   0.06%       0.00%    [libcangjie-runtime.so+0xff57c]
   0.06%       0.06%    [libc-2.31.so+0x76b64]
   0.06%       0.06%    cosf32x
   0.06%       0.06%    [libcangjie-runtime.so+0xd7c50]
   0.06%       0.06%    [libcangjie-runtime.so+0xd7cf4]
   0.06%       0.06%    pthread_mutex_trylock
   0.06%       0.06%    [libcangjie-runtime.so+0xc37d4]
   0.06%       0.00%    [libcangjie-runtime.so+0x104c18]
   0.06%       0.00%    [libcangjie-runtime.so+0x11d410]
   0.06%       0.00%    [libcangjie-runtime.so+0xf80d4]
   0.06%       0.00%    [libcangjie-runtime.so+0xf4134]
   0.06%       0.00%    [libcangjie-runtime.so+0x10ca14]
   0.06%       0.00%    [libcangjie-runtime.so+0xf7ba4]
   0.06%       0.00%    [libcangjie-runtime.so+0x104944]
   0.06%       0.06%    [libcangjie-runtime.so+0x10d470]
   0.06%       0.06%    [libcangjie-runtime.so+0x10bf5c]
   0.06%       0.06%    [libc-2.31.so+0x768f0]
   0.06%       0.06%    [libcangjie-runtime.so+0x10bfac]
   0.06%       0.06%    [libcangjie-runtime.so+0x1005f4]
   0.06%       0.06%    [libcangjie-runtime.so+0x10e2a8]
   0.06%       0.06%    [libcangjie-runtime.so+0x10611c]
   0.06%       0.06%    [libcangjie-runtime.so+0xd526c]
   0.06%       0.06%    [libcangjie-runtime.so+0x10c030]
   0.06%       0.06%    [libcangjie-runtime.so+0x11378c]
   0.06%       0.06%    [libcangjie-runtime.so+0x10d650]
   0.06%       0.00%    [libcangjie-runtime.so+0x10ce60]
   0.06%       0.00%    [libcangjie-runtime.so+0xf837c]
   0.06%       0.00%    [libcangjie-runtime.so+0x10ce50]
   0.06%       0.00%    [libcangjie-runtime.so+0x106c98]
   0.05%       0.05%    [libcangjie-runtime.so+0x10b988]
   0.05%       0.05%    [libcangjie-runtime.so+0x106b88]
   0.05%       0.05%    [libcangjie-runtime.so+0xb3f00]
   0.05%       0.05%    [libcangjie-runtime.so+0xdddec]
   0.05%       0.05%    [libcangjie-runtime.so+0xd8548]
   0.05%       0.05%    [libcangjie-runtime.so+0xd7bd8]
   0.05%       0.05%    [libcangjie-runtime.so+0xd7c0c]
   0.05%       0.00%    [libcangjie-runtime.so+0xf98f4]
   0.05%       0.00%    [libcangjie-runtime.so+0x10b8b4]
   0.05%       0.00%    [libcangjie-runtime.so+0x10cd54]
   0.05%       0.00%    [libcangjie-runtime.so+0xf572c]
   0.05%       0.05%    [libcangjie-runtime.so+0xdb5dc]
   0.05%       0.05%    [libcangjie-runtime.so+0x101928]
   0.05%       0.05%    [libcangjie-runtime.so+0xd7c68]
   0.05%       0.05%    [libc-2.31.so+0x768b4]
   0.05%       0.00%    [libcangjie-runtime.so+0xfe080]
   0.05%       0.05%    [libcangjie-runtime.so+0xd5228]
   0.05%       0.05%    [libcangjie-runtime.so+0xdb130]
   0.05%       0.05%    [libcangjie-runtime.so+0x101994]
   0.05%       0.05%    [libcangjie-runtime.so+0x101c24]
   0.05%       0.05%    [libcangjie-runtime.so+0xdb5fc]
   0.05%       0.05%    [libcangjie-runtime.so+0x106eb4]
   0.05%       0.05%    [libcangjie-runtime.so+0xbe2e8]
   0.05%       0.05%    [libcangjie-runtime.so+0xdba9c]
   0.05%       0.05%    [libcangjie-runtime.so+0x107dd0]
   0.05%       0.05%    [libcangjie-runtime.so+0x10ebd4]
   0.05%       0.05%    [libcangjie-runtime.so+0xdb1fc]
   0.05%       0.05%    [libcangjie-runtime.so+0xd7ce4]
   0.05%       0.05%    [libcangjie-runtime.so+0x1018fc]
   0.05%       0.05%    [libcangjie-runtime.so+0x105348]
