# Copyright (c) Huawei Technologies Co., Ltd. 2026. All rights reserved.
# This source file is part of the Cangjie project, licensed under Apache-2.0
# with Runtime Library Exception.
# 
# See https://cangjie-lang.cn/pages/LICENSE for license information.

Children        Self    Symbol
   0.04%       0.04%    [libcangjie-runtime.so+0xf6ef0]
   0.04%       0.04%    [libcangjie-runtime.so+0xd51f0]
   0.04%       0.04%    [libcangjie-runtime.so+0x105cf0]
   0.04%       0.04%    [libcangjie-runtime.so+0xf6edc]
   0.04%       0.04%    [libcangjie-runtime.so+0x106c04]
   0.04%       0.04%    [libcangjie-runtime.so+0xd592c]
   0.04%       0.04%    [libcangjie-runtime.so+0xd7a34]
   0.04%       0.04%    [libcangjie-runtime.so+0xd7a4c]
   0.04%       0.00%    [libcangjie-runtime.so+0xf4128]
   0.04%       0.00%    [libcangjie-runtime.so+0x101634]
   0.04%       0.04%    [libc-2.31.so+0x769d0]
   0.04%       0.04%    [libcangjie-runtime.so+0xdb6e0]
   0.04%       0.04%    [libcangjie-runtime.so+0xd5238]
   0.04%       0.04%    [libcangjie-runtime.so+0x10be98]
   0.04%       0.04%    [libcangjie-runtime.so+0x125860]
   0.04%       0.04%    [libcangjie-runtime.so+0x125c08]
   0.04%       0.04%    [libcangjie-runtime.so+0xbe230]
   0.04%       0.04%    [libcangjie-runtime.so+0x10eb98]
   0.04%       0.04%    [libcangjie-runtime.so+0x10bf30]
   0.04%       0.04%    [libcangjie-runtime.so+0x10796c]
   0.04%       0.04%    [libcangjie-runtime.so+0xdba2c]
   0.04%       0.04%    [libcangjie-runtime.so+0x10be64]
   0.04%       0.04%    [libcangjie-runtime.so+0x10c0c4]
   0.04%       0.04%    [libcangjie-runtime.so+0x107e6c]
   0.04%       0.04%    [libcangjie-runtime.so+0x10ddb0]
   0.04%       0.04%    [libcangjie-runtime.so+0x106bac]
   0.04%       0.04%    [libcangjie-runtime.so+0x101a84]
   0.04%       0.04%    [libcangjie-runtime.so+0xd7c9c]
   0.04%       0.04%    [libcangjie-runtime.so+0x101c44]
   0.04%       0.04%    [libcangjie-runtime.so+0x10c120]
   0.04%       0.04%    [libcangjie-runtime.so+0x10b78c]
   0.04%       0.04%    [libcangjie-runtime.so+0x10bf88]
   0.04%       0.04%    [libcangjie-runtime.so+0x10c014]
   0.04%       0.04%    [libcangjie-runtime.so+0xd8490]
   0.04%       0.04%    [libcangjie-runtime.so+0x101698]
   0.04%       0.04%    [libcangjie-runtime.so+0xff900]
   0.04%       0.04%    [libcangjie-runtime.so+0xdb5e4]
   0.04%       0.04%    [libcangjie-runtime.so+0xdddf0]
   0.04%       0.04%    [libcangjie-runtime.so+0xff934]
   0.04%       0.04%    [libcangjie-runtime.so+0xbe218]
   0.04%       0.00%    [libcangjie-runtime.so+0x10d2fc]
   0.04%       0.00%    [libcangjie-runtime.so+0xc7fcc]
   0.04%       0.00%    [libcangjie-runtime.so+0xf7dd4]
   0.03%       0.03%    [binarytrees_record_attach_01+0x47a10]
   0.03%       0.03%    [libcangjie-runtime.so+0xf6e60]
   0.03%       0.03%    [libcangjie-runtime.so+0xff90c]
   0.03%       0.03%    [libc-2.31.so+0x76ab4]
   0.03%       0.03%    [libcangjie-runtime.so+0x10190c]
   0.03%       0.03%    [libcangjie-runtime.so+0xff994]
   0.03%       0.03%    [libcangjie-runtime.so+0xd5960]
   0.03%       0.03%    [libcangjie-runtime.so+0x1137a4]
   0.03%       0.03%    [libcangjie-runtime.so+0xd527c]
   0.03%       0.00%    [libcangjie-runtime.so+0xf55d8]
   0.03%       0.00%    [libcangjie-runtime.so+0x10e314]
   0.03%       0.00%    [libcangjie-runtime.so+0x1079e8]
   0.03%       0.03%    [libcangjie-runtime.so+0xd7bd4]
   0.03%       0.03%    [libcangjie-runtime.so+0x101984]
   0.03%       0.03%    [libcangjie-runtime.so+0xdb1e0]
   0.03%       0.03%    [libc-2.31.so+0x86440]
   0.03%       0.03%    [libcangjie-runtime.so+0xdb2c0]
   0.03%       0.03%    [libcangjie-runtime.so+0x10188c]
   0.03%       0.03%    [libcangjie-runtime.so+0xb8084]
   0.03%       0.03%    [libcangjie-runtime.so+0x101b54]
   0.03%       0.03%    [libcangjie-runtime.so+0xd7b68]
   0.03%       0.03%    [libcangjie-runtime.so+0x101680]
   0.03%       0.03%    [libcangjie-runtime.so+0x10d44c]
   0.03%       0.03%    [libcangjie-runtime.so+0xf59bc]
   0.03%       0.03%    [libc-2.31.so+0x768d8]
   0.03%       0.03%    [libcangjie-runtime.so+0x10bf50]
   0.03%       0.03%    [libcangjie-runtime.so+0x10c01c]
   0.03%       0.03%    [libcangjie-runtime.so+0x10b750]
   0.03%       0.03%    [libcangjie-runtime.so+0x10bf20]
   0.03%       0.00%    [libcangjie-runtime.so+0x104958]
   0.03%       0.00%    [libcangjie-runtime.so+0x104b5c]
   0.03%       0.00%    [libcangjie-runtime.so+0x106d8c]
   0.03%       0.00%    [libcangjie-runtime.so+0xf5ab4]
   0.03%       0.03%    [libc-2.31.so+0x768ac]
   0.03%       0.03%    [libcangjie-runtime.so+0xbe2ec]
   0.03%       0.03%    [libcangjie-runtime.so+0x10b708]
   0.03%       0.03%    [libcangjie-runtime.so+0xf6e88]
   0.03%       0.03%    [libcangjie-runtime.so+0x107e58]
   0.03%       0.03%    [binarytrees_record_attach_01+0x473f0]
   0.03%       0.03%    [libcangjie-runtime.so+0xd7b94]
   0.03%       0.03%    [libcangjie-runtime.so+0x101870]
   0.03%       0.03%    [libcangjie-runtime.so+0x1005b4]
   0.03%       0.03%    [libcangjie-runtime.so+0x10e24c]
   0.03%       0.03%    [libcangjie-runtime.so+0xd7c5c]
   0.03%       0.03%    [libcangjie-runtime.so+0xd7c84]
   0.03%       0.03%    [libcangjie-runtime.so+0x10c130]
   0.03%       0.03%    [libcangjie-runtime.so+0xdb134]
   0.03%       0.03%    [libcangjie-runtime.so+0x100210]
   0.03%       0.03%    [libcangjie-runtime.so+0xf4de0]
   0.03%       0.03%    [libcangjie-runtime.so+0xfa7e4]
   0.03%       0.03%    [libcangjie-runtime.so+0xb8f00]
   0.03%       0.03%    [libcangjie-runtime.so+0xb8700]
   0.03%       0.00%    [libcangjie-runtime.so+0x1047a0]
   0.03%       0.00%    [libcangjie-runtime.so+0xf8134]
   0.03%       0.00%    [libcangjie-runtime.so+0xdd0b0]
   0.03%       0.00%    [libcangjie-runtime.so+0xd9708]
   0.03%       0.00%    [libcangjie-runtime.so+0xdda58]
   0.03%       0.00%    [libcangjie-runtime.so+0x116f74]
   0.03%       0.00%    [libcangjie-runtime.so+0xfa938]
   0.03%       0.03%    [libcangjie-runtime.so+0x10b72c]
   0.03%       0.03%    [libcangjie-runtime.so+0x105370]
   0.03%       0.03%    [libcangjie-runtime.so+0xbe220]
   0.03%       0.03%    [libcangjie-runtime.so+0xb3700]
   0.03%       0.03%    [libcangjie-runtime.so+0x1137a0]
   0.03%       0.03%    [libcangjie-runtime.so+0xf7e14]
   0.03%       0.03%    [libcangjie-runtime.so+0xd5854]
   0.03%       0.03%    [libcangjie-runtime.so+0x107e54]
   0.03%       0.03%    [libcangjie-runtime.so+0xdb608]
   0.03%       0.03%    [libcangjie-runtime.so+0xd51cc]
   0.03%       0.03%    [libcangjie-runtime.so+0xf8410]
   0.03%       0.03%    [libcangjie-runtime.so+0x107e2c]
   0.03%       0.03%    [libcangjie-runtime.so+0xdb708]
   0.03%       0.03%    [libcangjie-runtime.so+0xf6e7c]
   0.03%       0.00%    [libcangjie-runtime.so+0xd0520]
   0.03%       0.00%    [libcangjie-runtime.so+0xfe288]
   0.02%       0.02%    [libcangjie-runtime.so+0x10d4bc]
   0.02%       0.02%    [libcangjie-runtime.so+0xdd968]
   0.02%       0.02%    [libcangjie-runtime.so+0xdb700]
   0.02%       0.02%    [libcangjie-runtime.so+0xd5208]
   0.02%       0.02%    [libcangjie-runtime.so+0x107e70]
   0.02%       0.02%    [libcangjie-runtime.so+0x10c11c]
   0.02%       0.02%    [libcangjie-runtime.so+0x105360]
   0.02%       0.02%    [binarytrees_record_attach_01+0x47a18]
   0.02%       0.02%    [libcangjie-runtime.so+0xff980]
   0.02%       0.02%    [libcangjie-runtime.so+0x107dc8]
   0.02%       0.00%    [libcangjie-runtime.so+0xd9bf0]
   0.02%       0.00%    [libcangjie-runtime.so+0xdd0cc]
   0.02%       0.00%    [libcangjie-runtime.so+0xd9098]
   0.02%       0.02%    [libcangjie-runtime.so+0x10be8c]
   0.02%       0.02%    [libcangjie-runtime.so+0xf4dd4]
   0.02%       0.02%    [libc-2.31.so+0x76940]
   0.02%       0.02%    [libcangjie-runtime.so+0x10e2b4]
   0.02%       0.02%    [libcangjie-runtime.so+0xd5988]
   0.02%       0.02%    [libcangjie-runtime.so+0x101848]
   0.02%       0.02%    [libcangjie-runtime.so+0xdb830]
   0.02%       0.02%    [libcangjie-runtime.so+0xd7a0c]
   0.02%       0.02%    [libcangjie-runtime.so+0x101858]
   0.02%       0.02%    [libcangjie-runtime.so+0x106eb8]
   0.02%       0.02%    [libc-2.31.so+0x76914]
   0.02%       0.02%    [libcangjie-runtime.so+0x10bf40]
   0.02%       0.02%    [libcangjie-runtime.so+0x10eb94]
   0.02%       0.02%    [libcangjie-runtime.so+0xfa814]
   0.02%       0.02%    [libcangjie-runtime.so+0x107980]
   0.02%       0.02%    [libcangjie-runtime.so+0xbe224]
   0.02%       0.02%    [libcangjie-runtime.so+0x107950]
   0.02%       0.02%    [libcangjie-runtime.so+0xb45a4]
   0.02%       0.02%    [libcangjie-runtime.so+0x101c5c]
   0.02%       0.02%    [libcangjie-runtime.so+0xb4a94]
   0.02%       0.02%    [libcangjie-runtime.so+0xd79f0]
   0.02%       0.02%    [libcangjie-runtime.so+0xd5860]
   0.02%       0.02%    [libcangjie-runtime.so+0xbe21c]
   0.02%       0.02%    [libcangjie-runtime.so+0xf7e00]
   0.02%       0.02%    [libcangjie-runtime.so+0x105330]
   0.02%       0.00%    [libcangjie-runtime.so+0x10c960]
   0.02%       0.00%    [libcangjie-runtime.so+0xc5bd4]
   0.02%       0.00%    [libcangjie-runtime.so+0xe4bb8]
   0.02%       0.02%    [libcangjie-runtime.so+0x105ce8]
   0.02%       0.02%    [libcangjie-runtime.so+0xfc4a0]
   0.02%       0.02%    [libcangjie-runtime.so+0xd590c]
   0.02%       0.02%    [libcangjie-runtime.so+0xd5968]
   0.02%       0.02%    [libcangjie-runtime.so+0xdd95c]
   0.02%       0.02%    [libcangjie-runtime.so+0xb73f0]
   0.02%       0.02%    [libcangjie-runtime.so+0xfa7d0]
   0.02%       0.02%    [libcangjie-runtime.so+0xb4c44]
   0.02%       0.02%    [libcangjie-runtime.so+0xf6e54]
   0.02%       0.02%    [libcangjie-runtime.so+0x1092d0]
   0.02%       0.02%    [libcangjie-runtime.so+0xf6e98]
   0.02%       0.02%    [libcangjie-runtime.so+0x107938]
   0.02%       0.02%    [libcangjie-runtime.so+0xd7064]
   0.02%       0.02%    [libcangjie-runtime.so+0x10bf10]
   0.02%       0.02%    [libcangjie-runtime.so+0x10d5bc]
   0.02%       0.02%    [libcangjie-runtime.so+0xd7a18]
   0.02%       0.02%    [libcangjie-runtime.so+0x10bef0]
   0.02%       0.02%    [libcangjie-runtime.so+0xfc200]
   0.02%       0.02%    [libcangjie-runtime.so+0xf5e9c]
   0.02%       0.02%    [libcangjie-runtime.so+0xb8454]
   0.02%       0.02%    [libcangjie-runtime.so+0x101bdc]
   0.02%       0.00%    [libcangjie-runtime.so+0xfd30c]
   0.02%       0.00%    [libcangjie-runtime.so+0xf5ad4]
   0.02%       0.00%    [libcangjie-runtime.so+0x104ac0]
   0.02%       0.00%    [libcangjie-runtime.so+0xfa4e8]
   0.02%       0.02%    [libcangjie-runtime.so+0xb8450]
   0.02%       0.02%    [libcangjie-runtime.so+0xd79ec]
   0.02%       0.02%    [libcangjie-runtime.so+0x107db4]
   0.02%       0.02%    [libcangjie-runtime.so+0x113780]
   0.02%       0.02%    [libc-2.31.so+0x769f8]
   0.02%       0.02%    [libcangjie-runtime.so+0x101bac]
   0.02%       0.02%    [libcangjie-runtime.so+0xdd90c]
   0.02%       0.02%    [libcangjie-runtime.so+0xd8498]
   0.02%       0.02%    [libcangjie-runtime.so+0x10e0e0]
   0.02%       0.02%    [libcangjie-runtime.so+0xdb3c0]
   0.02%       0.02%    [libcangjie-runtime.so+0x10795c]
   0.02%       0.02%    [libcangjie-runtime.so+0xd0a88]
   0.02%       0.02%    [libcangjie-runtime.so+0x10eba8]
   0.02%       0.02%    [libcangjie-runtime.so+0x10d640]
   0.02%       0.02%    [libcangjie-runtime.so+0x10137c]
   0.02%       0.02%    [libcangjie-runtime.so+0x107930]
   0.02%       0.02%    [libcangjie-runtime.so+0x1002b8]
   0.02%       0.00%    [libcangjie-runtime.so+0x11d374]
   0.02%       0.00%    [libcangjie-runtime.so+0xf55e4]
   0.02%       0.00%    [libcangjie-runtime.so+0xf7bbc]
   0.02%       0.00%    [libcangjie-runtime.so+0x100b40]
   0.02%       0.00%    [libcangjie-runtime.so+0x10c950]
   0.02%       0.00%    [libcangjie-runtime.so+0xf5ac8]
   0.02%       0.00%    nanosleep
   0.02%       0.00%    [libcangjie-runtime.so+0xe7b94]
   0.02%       0.00%    [libcangjie-runtime.so+0xf8ab0]
   0.02%       0.02%    [libcangjie-runtime.so+0x10613c]
   0.02%       0.02%    sched_yield
   0.02%       0.02%    [libcangjie-runtime.so+0x100250]
   0.02%       0.02%    [libcangjie-runtime.so+0xd7a58]
   0.02%       0.02%    [libcangjie-runtime.so+0xb2e00]
   0.02%       0.02%    [libcangjie-runtime.so+0xd7a6c]
   0.02%       0.02%    [libcangjie-runtime.so+0xdb580]
   0.02%       0.02%    [libcangjie-runtime.so+0xb45a0]
   0.02%       0.02%    __clock_gettime
   0.02%       0.02%    [libcangjie-runtime.so+0xff928]
   0.02%       0.02%    [libcangjie-runtime.so+0xc1034]
   0.02%       0.02%    [libcangjie-runtime.so+0xd849c]
   0.02%       0.02%    [libcangjie-runtime.so+0x106d00]
   0.02%       0.02%    [libcangjie-runtime.so+0xf34a8]
   0.02%       0.02%    [libcangjie-runtime.so+0x105d18]
   0.02%       0.02%    [libcangjie-runtime.so+0x10d634]
   0.02%       0.02%    [libcangjie-runtime.so+0x1018c4]
   0.02%       0.02%    [libcangjie-runtime.so+0x106168]
   0.02%       0.02%    [libcangjie-runtime.so+0x109298]
   0.02%       0.02%    [libcangjie-runtime.so+0x106c4c]
   0.02%       0.02%    [libcangjie-runtime.so+0x106c58]
   0.02%       0.02%    [libcangjie-runtime.so+0x105328]
   0.02%       0.02%    [libcangjie-runtime.so+0x105350]
   0.02%       0.02%    [libcangjie-runtime.so+0xf83fc]
   0.02%       0.01%    clock_nanosleep
   0.02%       0.00%    [libcangjie-runtime.so+0xf99f0]
   0.02%       0.00%    [libcangjie-runtime.so+0xf832c]
   0.02%       0.00%    [libcangjie-runtime.so+0x11d35c]
   0.02%       0.00%    [libcangjie-runtime.so+0xfe580]
   0.02%       0.00%    [libcangjie-runtime.so+0xf6968]
   0.02%       0.00%    usleep
   0.02%       0.00%    [libcangjie-runtime.so+0xf4798]
   0.02%       0.00%    [libcangjie-runtime.so+0x10e484]
   0.01%       0.01%    [libcangjie-runtime.so+0xb2e8c]
   0.01%       0.01%    [libcangjie-runtime.so+0x101b5c]
   0.01%       0.01%    [libcangjie-runtime.so+0xdb194]
   0.01%       0.01%    [libcangjie-runtime.so+0x101a18]
   0.01%       0.01%    [libcangjie-runtime.so+0x101978]
   0.01%       0.01%    [libcangjie-runtime.so+0xb3910]
   0.01%       0.01%    [libcangjie-runtime.so+0xfa85c]
   0.01%       0.01%    [libcangjie-runtime.so+0x10c034]
   0.01%       0.01%    [libcangjie-runtime.so+0x107978]
   0.01%       0.01%    [libcangjie-runtime.so+0x101844]
   0.01%       0.01%    [libcangjie-runtime.so+0x10d64c]
   0.01%       0.01%    [libcangjie-runtime.so+0x10d7a4]
   0.01%       0.01%    [libcangjie-runtime.so+0x105378]
   0.01%       0.01%    [libcangjie-runtime.so+0x1013f8]
   0.01%       0.01%    [libcangjie-runtime.so+0xc1440]
   0.01%       0.01%    [libcangjie-runtime.so+0x107db8]
   0.01%       0.01%    [libcangjie-runtime.so+0x107dcc]
   0.01%       0.01%    [libcangjie-runtime.so+0x107e14]
   0.01%       0.01%    [libcangjie-runtime.so+0xf6ed0]
   0.01%       0.01%    [libcangjie-runtime.so+0xf85c4]
   0.01%       0.01%    [libcangjie-runtime.so+0x106c54]
   0.01%       0.01%    [libcangjie-runtime.so+0xd7b64]
   0.01%       0.01%    [[vdso]+0xffff826c7394]
   0.01%       0.01%    [libcangjie-runtime.so+0xc37d0]
   0.01%       0.01%    [libcangjie-runtime.so+0x101b68]
   0.01%       0.01%    [libcangjie-runtime.so+0x10b70c]
   0.01%       0.01%    [libcangjie-runtime.so+0xd5280]
   0.01%       0.01%    [libcangjie-runtime.so+0xf59b8]
   0.01%       0.01%    [libcangjie-runtime.so+0x10b980]
   0.01%       0.01%    [libcangjie-runtime.so+0xbe2b4]
   0.01%       0.01%    [libcangjie-runtime.so+0xbe2b0]
   0.01%       0.01%    [libcangjie-runtime.so+0xf7e10]
   0.01%       0.01%    [libcangjie-runtime.so+0x10c004]
   0.01%       0.01%    [libcangjie-runtime.so+0x10c0d8]
   0.01%       0.01%    [libcangjie-runtime.so+0x11379c]
   0.01%       0.01%    [libcangjie-runtime.so+0xd6d84]
   0.01%       0.00%    [libcangjie-runtime.so+0xfd324]
   0.01%       0.00%    [libcangjie-runtime.so+0x101818]
   0.01%       0.00%    [libcangjie-runtime.so+0xff7dc]
   0.01%       0.00%    [libcangjie-runtime.so+0x10bfc0]
   0.01%       0.00%    [libcangjie-runtime.so+0x125e5c]
   0.01%       0.00%    [libcangjie-runtime.so+0xc7b1c]
   0.01%       0.01%    [libcangjie-runtime.so+0xdd9b4]
   0.01%       0.01%    [libcangjie-runtime.so+0xdb6f8]
   0.01%       0.01%    [libcangjie-runtime.so+0xb9dd4]
   0.01%       0.01%    [libcangjie-runtime.so+0xf4df8]
   0.01%       0.01%    [libcangjie-runtime.so+0xb8210]
   0.01%       0.01%    [libcangjie-runtime.so+0xb7e04]
   0.01%       0.01%    [libcangjie-runtime.so+0x10d614]
   0.01%       0.01%    [libcangjie-runtime.so+0xdb1a0]
   0.01%       0.01%    [libcangjie-runtime.so+0xdb1ac]
   0.01%       0.01%    [libcangjie-runtime.so+0xd7cd4]
   0.01%       0.01%    [libcangjie-runtime.so+0xb67e0]
   0.01%       0.01%    [libcangjie-runtime.so+0xdb1c8]
   0.01%       0.01%    [libcangjie-runtime.so+0xd0a68]
   0.01%       0.01%    [libcangjie-runtime.so+0xfa7a0]
   0.01%       0.01%    [libcangjie-runtime.so+0xdb204]
   0.01%       0.01%    [libcangjie-runtime.so+0x106120]
   0.01%       0.01%    [libcangjie-runtime.so+0xd7bac]
   0.01%       0.01%    [libcangjie-runtime.so+0xdb498]
   0.01%       0.01%    [libcangjie-runtime.so+0xdb504]
   0.01%       0.01%    [libcangjie-runtime.so+0x10bf98]
   0.01%       0.01%    [libc-2.31.so+0x769e8]
   0.01%       0.01%    [libcangjie-runtime.so+0xd7a24]
   0.01%       0.01%    [libcangjie-runtime.so+0x11cde0]
   0.01%       0.01%    [libcangjie-runtime.so+0x105384]
   0.01%       0.01%    [libcangjie-runtime.so+0xd5990]
   0.01%       0.01%    [libcangjie-runtime.so+0x105d00]
   0.01%       0.01%    [libcangjie-runtime.so+0x10befc]
   0.01%       0.01%    [libcangjie-runtime.so+0x10bf18]
   0.01%       0.01%    [libcangjie-runtime.so+0xdb7ec]
   0.01%       0.01%    [libcangjie-runtime.so+0x107944]
   0.01%       0.00%    [libcangjie-runtime.so+0xf83a8]
   0.01%       0.00%    [libcangjie-runtime.so+0xdd454]
   0.01%       0.00%    [libcangjie-runtime.so+0x1024d0]
   0.01%       0.00%    [libcangjie-runtime.so+0xfe2b8]
   0.01%       0.00%    [libcangjie-runtime.so+0xfa914]
   0.01%       0.00%    [libcangjie-runtime.so+0x11669c]
   0.01%       0.01%    [libcangjie-runtime.so+0x106218]
   0.01%       0.01%    [libcangjie-runtime.so+0xdb248]
   0.01%       0.01%    [libcangjie-runtime.so+0x106224]
   0.01%       0.01%    [libcangjie-runtime.so+0xd79fc]
   0.01%       0.01%    [libcangjie-runtime.so+0xf5b58]
   0.01%       0.01%    [libc-2.31.so+0x86380]
   0.01%       0.01%    [libcangjie-runtime.so+0xb4740]
   0.01%       0.01%    [libcangjie-runtime.so+0xb40b0]
   0.01%       0.01%    __aarch64_swp4_acq
   0.01%       0.01%    [libcangjie-runtime.so+0x10e260]
   0.01%       0.01%    [libcangjie-runtime.so+0x10d414]
   0.01%       0.01%    [libcangjie-runtime.so+0xdd958]
   0.01%       0.01%    [libcangjie-runtime.so+0x106c64]
   0.01%       0.01%    [libc-2.31.so+0x76b70]
   0.01%       0.01%    [libcangjie-runtime.so+0x10a18c]
   0.01%       0.01%    [libcangjie-runtime.so+0xb8754]
   0.01%       0.01%    [libcangjie-runtime.so+0xd8478]
   0.01%       0.01%    [libcangjie-runtime.so+0xd84a0]
   0.01%       0.01%    [libcangjie-runtime.so+0x10167c]
   0.01%       0.01%    [libcangjie-runtime.so+0xdbc0c]
   0.01%       0.01%    [libcangjie-runtime.so+0xd5278]
   0.01%       0.01%    [libcangjie-runtime.so+0xd7c60]
   0.01%       0.01%    [libcangjie-runtime.so+0xb7060]
   0.01%       0.01%    [libcangjie-runtime.so+0x106ba4]
   0.01%       0.01%    [libcangjie-runtime.so+0x10e27c]
   0.01%       0.01%    [libcangjie-runtime.so+0x106c34]
   0.01%       0.01%    [libcangjie-runtime.so+0xcd828]
   0.01%       0.01%    [libcangjie-runtime.so+0xf3930]
   0.01%       0.01%    [libcangjie-runtime.so+0xdba40]
   0.01%       0.01%    [libcangjie-runtime.so+0x106ec4]
   0.01%       0.01%    [[vdso]+0xffff826c73b4]
   0.01%       0.01%    [libcangjie-runtime.so+0xf8030]
   0.01%       0.01%    [libcangjie-runtime.so+0xd6d7c]
   0.01%       0.01%    [libcangjie-runtime.so+0xdba94]
   0.01%       0.01%    [libc-2.31.so+0x86474]
   0.01%       0.01%    [libcangjie-runtime.so+0x10d644]
   0.01%       0.01%    [libcangjie-runtime.so+0xdbac0]
   0.01%       0.01%    [libcangjie-runtime.so+0x10e588]
   0.01%       0.01%    [libcangjie-runtime.so+0xfa880]
   0.01%       0.01%    [libc-2.31.so+0x8644c]
   0.01%       0.01%    [libcangjie-runtime.so+0xdb560]
   0.01%       0.00%    [libcangjie-runtime.so+0x11381c]
   0.01%       0.00%    [libcangjie-runtime.so+0xf3f50]
   0.01%       0.00%    [libcangjie-runtime.so+0xc7b4c]
   0.01%       0.00%    [libcangjie-runtime.so+0x100b48]
   0.01%       0.00%    [libcangjie-runtime.so+0x102d4c]
   0.01%       0.00%    [libcangjie-runtime.so+0xe6854]
   0.01%       0.01%    [libcangjie-runtime.so+0x101690]
   0.01%       0.01%    [libcangjie-runtime.so+0x1019ec]
   0.01%       0.01%    [libcangjie-runtime.so+0x106c70]
   0.01%       0.01%    [libcangjie-runtime.so+0x1137c4]
   0.01%       0.01%    [libcangjie-runtime.so+0x101bc8]
   0.01%       0.01%    [libcangjie-runtime.so+0x10c024]
   0.01%       0.01%    [libcangjie-runtime.so+0x108e9c]
   0.01%       0.01%    [libcangjie-runtime.so+0xdb3a4]
   0.01%       0.01%    [[vdso]+0xffff826c7360]
   0.01%       0.01%    [libcangjie-runtime.so+0x10c0e4]
   0.01%       0.01%    [libcangjie-runtime.so+0xdb128]
   0.01%       0.01%    [libcangjie-runtime.so+0xdb360]
   0.01%       0.01%    [libc-2.31.so+0x86470]
   0.01%       0.01%    [libcangjie-runtime.so+0xd74a0]
   0.01%       0.01%    [libcangjie-runtime.so+0xd584c]
   0.01%       0.01%    [libcangjie-runtime.so+0xb391c]
   0.01%       0.01%    [libcangjie-runtime.so+0x105334]
   0.01%       0.01%    [libcangjie-runtime.so+0xf9840]
   0.01%       0.01%    [libcangjie-runtime.so+0x10e254]
   0.01%       0.01%    [libcangjie-runtime.so+0xd7a1c]
   0.01%       0.01%    [libcangjie-runtime.so+0xdb874]
   0.01%       0.01%    [libcangjie-runtime.so+0x1005e8]
   0.01%       0.01%    [libcangjie-runtime.so+0x105340]
   0.01%       0.01%    [libcangjie-runtime.so+0xb9f70]
   0.01%       0.01%    [libcangjie-runtime.so+0x106c48]
   0.01%       0.01%    [libcangjie-runtime.so+0xd84b0]
   0.01%       0.01%    [libcangjie-runtime.so+0xbe2a4]
   0.01%       0.01%    [libcangjie-runtime.so+0xd7a74]
   0.01%       0.01%    [libcangjie-runtime.so+0x10e01c]
   0.01%       0.01%    [libcangjie-runtime.so+0x11e048]
   0.01%       0.01%    [libcangjie-runtime.so+0x107d8c]
   0.01%       0.01%    [libcangjie-runtime.so+0x10d7a0]
   0.01%       0.01%    [libcangjie-runtime.so+0x101374]
   0.01%       0.01%    [libcangjie-runtime.so+0x106158]
   0.01%       0.01%    [libcangjie-runtime.so+0xd5934]
   0.01%       0.01%    [libcangjie-runtime.so+0x1018cc]
   0.01%       0.01%    [libcangjie-runtime.so+0x1005b0]
   0.01%       0.01%    [libcangjie-runtime.so+0xb7e74]
   0.01%       0.01%    [libcangjie-runtime.so+0xdb600]
   0.01%       0.01%    [libcangjie-runtime.so+0xd7c78]
   0.01%       0.01%    [libcangjie-runtime.so+0xb2e88]
   0.01%       0.01%    [libcangjie-runtime.so+0x10d618]
   0.01%       0.01%    [libcangjie-runtime.so+0xdb264]
   0.01%       0.01%    [libcangjie-runtime.so+0xd7cc8]
   0.01%       0.01%    [libcangjie-runtime.so+0xb7bb4]
   0.01%       0.01%    [libcangjie-runtime.so+0x10d494]
   0.01%       0.00%    [libcangjie-runtime.so+0xf3f28]
   0.01%       0.00%    [libcangjie-runtime.so+0x106cb4]
   0.01%       0.00%    [libcangjie-runtime.so+0xd4508]
   0.01%       0.00%    [libcangjie-runtime.so+0xf81dc]
   0.01%       0.00%    [libcangjie-runtime.so+0x101708]
   0.01%       0.00%    [libcangjie-runtime.so+0x10d318]
   0.01%       0.00%    [libcangjie-runtime.so+0xfe0a8]
   0.01%       0.00%    [libcangjie-runtime.so+0xfe298]
   0.01%       0.00%    [libcangjie-runtime.so+0xf83ec]
   0.01%       0.00%    [libcangjie-runtime.so+0xfa92c]
   0.01%       0.00%    [libcangjie-runtime.so+0xf8584]
   0.01%       0.01%    [libc-2.31.so+0x10d144]
   0.01%       0.01%    [libcangjie-runtime.so+0x10e320]
   0.01%       0.01%    [libcangjie-runtime.so+0xf5c6c]
   0.01%       0.01%    [libc-2.31.so+0x768b0]
   0.01%       0.01%    [libcangjie-runtime.so+0xf5cec]
   0.01%       0.01%    [libcangjie-runtime.so+0xd7bf0]
   0.01%       0.01%    [libcangjie-runtime.so+0xd51b8]
   0.01%       0.01%    [binarytrees_record_attach_01+0x47a1c]
   0.01%       0.01%    [libcangjie-runtime.so+0x10c098]
   0.01%       0.01%    [libcangjie-runtime.so+0xc37cc]
   0.01%       0.01%    [libcangjie-runtime.so+0x106d98]
   0.01%       0.01%    [libcangjie-runtime.so+0x10a1a4]
   0.01%       0.01%    [libcangjie-runtime.so+0xdd910]
   0.01%       0.01%    [libc-2.31.so+0x10d140]
   0.01%       0.01%    [libcangjie-runtime.so+0xd1024]
   0.01%       0.01%    [libcangjie-runtime.so+0xc62dc]
   0.01%       0.01%    [libcangjie-runtime.so+0x107e38]
   0.01%       0.01%    [libcangjie-runtime.so+0x106c50]
   0.01%       0.01%    [libcangjie-runtime.so+0xd7b20]
